count,word,rank,cumulative_fraction
3699605,ich,1,0.03906
2409949,sie,2,0.06451
1952794,das,3,0.08513
1920535,ist,4,0.1054
1890181,du,5,0.1254
1734016,nicht,6,0.1437
1585020,die,7,0.1604
1460530,es,8,0.1758
1441012,und,9,0.191
1109693,der,10,0.2028
1075801,wir,11,0.2141
1072372,was,12,0.2254
918548,zu,13,0.2351
851812,er,14,0.2441
841835,ein,15,0.253
793011,in,16,0.2614
645137,mir,17,0.2682
641744,mit,18,0.275
635186,ja,19,0.2817
588653,den,20,0.2879
585413,wie,21,0.2941
570285,mich,22,0.3001
567544,auf,23,0.3061
555016,dass,24,0.312
535419,eine,25,0.3176
523716,aber,26,0.3231
508157,so,27,0.3285
499226,hat,28,0.3338
483819,hier,29,0.3389
475089,haben,30,0.3439
464876,sind,31,0.3488
461926,für,32,0.3537
457616,von,33,0.3585
443610,dich,34,0.3632
441018,war,35,0.3679
438665,wenn,36,0.3725
408931,ihr,37,0.3768
406611,habe,38,0.3811
404910,nein,39,0.3854
399003,an,40,0.3896
369586,bin,41,0.3935
358787,noch,42,0.3973
356437,da,43,0.401
354523,dir,44,0.4048
352269,nur,45,0.4085
339025,einen,46,0.4121
336423,sich,47,0.4156
331921,uns,48,0.4191
325643,hast,49,0.4226
296995,dem,50,0.4257
293647,kann,51,0.4288
280534,sein,52,0.4318
277547,auch,53,0.4347
276857,ihn,54,0.4376
276809,schon,55,0.4406
275361,als,56,0.4435
274768,jetzt,57,0.4464
274669,gut,58,0.4493
271291,mal,59,0.4521
269701,aus,60,0.455
268714,um,61,0.4578
266017,meine,62,0.4606
264865,dann,63,0.4634
252030,wird,64,0.4661
251908,im,65,0.4687
249017,bist,66,0.4714
247735,mein,67,0.474
233508,doch,68,0.4765
230999,alles,69,0.4789
218993,keine,70,0.4812
218422,weiß,71,0.4835
214775,oder,72,0.4858
207669,nach,73,0.488
194750,s,74,0.49
194284,werden,75,0.4921
193569,nichts,76,0.4941
188465,man,77,0.4961
186838,wo,78,0.4981
183662,ihnen,79,0.5
181934,etwas,80,0.5019
181625,muss,81,0.5039
179801,will,82,0.5058
178799,geht,83,0.5077
178134,oh,84,0.5095
177486,mehr,85,0.5114
174799,also,86,0.5133
170877,bei,87,0.5151
167261,immer,88,0.5168
166140,bitte,89,0.5186
164397,warum,90,0.5203
159993,hab,91,0.522
155796,vor,92,0.5236
154848,los,93,0.5253
152494,können,94,0.5269
151814,wieder,95,0.5285
148970,sagen,96,0.5301
147231,machen,97,0.5316
142880,alle,98,0.5331
141979,sehr,99,0.5346
141770,mann,100,0.5361
140795,okay,101,0.5376
140022,gehen,102,0.5391
139250,denn,103,0.5406
138734,zum,104,0.542
137036,tun,105,0.5435
136458,ihm,106,0.5449
136456,diese,107,0.5464
136305,danke,108,0.5478
135747,sehen,109,0.5492
135593,wer,110,0.5507
135460,einem,111,0.5521
133228,euch,112,0.5535
132064,komm,113,0.5549
